ID,Question,A,B,C,D,Correct Answer,Difficulty
1,Which disorder involves experiencing symptoms for at least two years with only temporary relief?,Premenstrual dysphoric disorder,Cyclothymic disorder,Major depressive disorder,Persistent depressive disorder,D,Easy
2,Which of the following is a key distinction between bipolar I and bipolar II disorder?,Family history,Severity of depressive symptoms,Presence of hallucinations,Occurrence of manic episodes,D,Easy
3,What symptom is required for a diagnosis of major depressive disorder?,Hypomania,Decreased need for sleep,Increased risk-taking,Depressed mood or anhedonia,D,Easy
4,Which disorder involves experiencing symptoms for at least two years with only temporary relief?,Cyclothymic disorder,Persistent depressive disorder,Premenstrual dysphoric disorder,Major depressive disorder,B,Easy
5,Which of the following is a key distinction between bipolar I and bipolar II disorder?,Severity of depressive symptoms,Occurrence of manic episodes,Presence of hallucinations,Family history,B,Easy
6,What symptom is required for a diagnosis of major depressive disorder?,Decreased need for sleep,Hypomania,Depressed mood or anhedonia,Increased risk-taking,C,Easy
7,Which disorder involves experiencing symptoms for at least two years with only temporary relief?,Cyclothymic disorder,Persistent depressive disorder,Premenstrual dysphoric disorder,Major depressive disorder,B,Easy
8,Which of the following is a key distinction between bipolar I and bipolar II disorder?,Family history,Severity of depressive symptoms,Presence of hallucinations,Occurrence of manic episodes,D,Easy
9,What symptom is required for a diagnosis of major depressive disorder?,Hypomania,Depressed mood or anhedonia,Increased risk-taking,Decreased need for sleep,B,Easy
10,Which disorder involves experiencing symptoms for at least two years with only temporary relief?,Persistent depressive disorder,Cyclothymic disorder,Major depressive disorder,Premenstrual dysphoric disorder,A,Easy
11,Which of the following is a key distinction between bipolar I and bipolar II disorder?,Severity of depressive symptoms,Family history,Occurrence of manic episodes,Presence of hallucinations,C,Easy
12,What symptom is required for a diagnosis of major depressive disorder?,Increased risk-taking,Depressed mood or anhedonia,Decreased need for sleep,Hypomania,B,Easy
13,Which disorder involves experiencing symptoms for at least two years with only temporary relief?,Cyclothymic disorder,Persistent depressive disorder,Major depressive disorder,Premenstrual dysphoric disorder,B,Easy
14,Which of the following is a key distinction between bipolar I and bipolar II disorder?,Presence of hallucinations,Severity of depressive symptoms,Family history,Occurrence of manic episodes,D,Easy
15,What symptom is required for a diagnosis of major depressive disorder?,Depressed mood or anhedonia,Hypomania,Decreased need for sleep,Increased risk-taking,A,Easy
16,Which disorder involves experiencing symptoms for at least two years with only temporary relief?,Premenstrual dysphoric disorder,Cyclothymic disorder,Persistent depressive disorder,Major depressive disorder,C,Easy
17,Which of the following is a key distinction between bipolar I and bipolar II disorder?,Occurrence of manic episodes,Family history,Severity of depressive symptoms,Presence of hallucinations,A,Easy
18,What symptom is required for a diagnosis of major depressive disorder?,Increased risk-taking,Hypomania,Depressed mood or anhedonia,Decreased need for sleep,C,Easy
19,Which disorder involves experiencing symptoms for at least two years with only temporary relief?,Cyclothymic disorder,Premenstrual dysphoric disorder,Major depressive disorder,Persistent depressive disorder,D,Easy
20,Which of the following is a key distinction between bipolar I and bipolar II disorder?,Family history,Presence of hallucinations,Occurrence of manic episodes,Severity of depressive symptoms,C,Easy
